Season,Episode,Scenes per episode,Title,Title length,Abstract,Director,Rating
4,19,8,The One with All the Haste,26,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,Kevin Bright,8.7
4,20,13,The One with All the Wedding Dresses,36,Monica tries on Emily's wedding dress and can't stop wearing it. Jealous of Ross's proposal to Emily Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.,Gail Mancuso,8.5
4,21,29,The One with the Invitation,27,As Ross and Emily send out wedding invitations he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.,Peter Bonerz,7.2
4,22,16,The One with the Worst Best Man Ever,36,At first Ross chooses Joey to be his best man but after a mishap at his bachelor party he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.,Peter Bonerz,8.5
4,23,15,The One with Ross's Wedding,27,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding while someone else unexpectedly shows up to the wedding.,Kevin Bright,8.7
4,24,26,The One with Ross's Wedding,27,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,Kevin Bright,9.2
5,1,9,The One After Ross Says Rachel,30,A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile Chandler and Monica struggle to get time alone together.,Kevin Bright,8.9
5,2,10,The One with All the Kissing,28,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,Gary Halvorson,9.0
5,3,17,The One Hundredth,17,The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are 'just goofing around'. Joey gets treated for kidney stones.,Kevin Bright,8.8
5,4,14,The One Where Phoebe Hates PBS,30,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,Shelley Jensen,8.3
5,5,13,The One with the Kips,21,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,Dana De Vally Piazza,8.8
5,6,12,The One with the Yeti,21,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,Gary Halvorson,8.1
5,7,16,The One Where Ross Moves In,27,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,Gary Halvorson,8.4
5,8,15,The One with All the Thanksgivings,34,The gang remember and share with each other their worst Thanksgivings.,Kevin Bright,9.2
